,tid,tname,title,desc,duration,stat,dynamic,rcmd_reason,bvid,owner,dimension,pub_location
1,17,单机游戏,仅发布三天就在外网引起热议的游戏！噩梦化后的世界竟如此可怕！,"游戏：雪中的双脚

喜欢这期视频的话别忘了点赞！投币！",556,"{'aid': 523362520, 'view': 631805, 'danmaku': 2663, 'reply': 1771, 'favorite': 12828, 'coin': 5608, 'share': 1017, 'now_rank': 0, 'his_rank': 0, 'like': 42631, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1zM411q7CT,"{'mid': 12645026, 'name': '皮鸡没有毛', 'face': 'https://i2.hdslb.com/bfs/face/0723ad575a562bef62753083f45772946f8c7a23.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",河北
2,216,鬼畜剧场,顶 级 厨 尸,值了！值了！值了！,78,"{'aid': 308366842, 'view': 1469517, 'danmaku': 1413, 'reply': 1116, 'favorite': 14661, 'coin': 9395, 'share': 20775, 'now_rank': 0, 'his_rank': 0, 'like': 85049, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1iA411k7nH,"{'mid': 429765143, 'name': '快乐阿依', 'face': 'https://i2.hdslb.com/bfs/face/d8e3eb52085dd1efdbd10a751ddadae2c24ef6cb.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",四川
3,219,汪星人,目睹自己饭盆被炸飞,-,35,"{'aid': 735750821, 'view': 816732, 'danmaku': 293, 'reply': 957, 'favorite': 6188, 'coin': 1240, 'share': 5739, 'now_rank': 0, 'his_rank': 0, 'like': 78065, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV12D4y1n7BZ,"{'mid': 37073255, 'name': '小蘑菇要涩涩', 'face': 'http://i2.hdslb.com/bfs/face/60cf9fedf7253aadc5de9d43edad16a7dc9f3b4e.jpg'}","{'width': 1080, 'height': 1920, 'rotate': 0}",河北
4,65,网络游戏,《姜还是老的辣》,"哈哈哈这个系列出第二期了！
反转中的反转！
希望各位观众老爷喜欢我的视频(⁰▿⁰)",29,"{'aid': 350754373, 'view': 874697, 'danmaku': 367, 'reply': 283, 'favorite': 5197, 'coin': 916, 'share': 4960, 'now_rank': 0, 'his_rank': 0, 'like': 67041, 'dislike': 0}",反转,"{'content': '', 'corner_mark': 0}",BV11R4y1872P,"{'mid': 1610646663, 'name': '名字不太长的小伧', 'face': 'https://i0.hdslb.com/bfs/face/e61bfa01a4e120314da503a96231ccc1c5ec318b.jpg'}","{'width': 1920, 'height': 1012, 'rotate': 0}",广东
5,71,综艺,“郝郝反思”一下，春晚小品《坑》到底坑了谁？,“郝郝反思”一下，春晚小品《坑》到底坑了谁？,1764,"{'aid': 905854402, 'view': 2787573, 'danmaku': 7484, 'reply': 2629, 'favorite': 32810, 'coin': 27398, 'share': 26579, 'now_rank': 0, 'his_rank': 26, 'like': 138944, 'dislike': 0}",“郝郝反思”一下，春晚小品《坑》到底坑了谁？,"{'content': '', 'corner_mark': 0}",BV19P4y1z7Ro,"{'mid': 303737511, 'name': '直击面试专访组', 'face': 'https://i0.hdslb.com/bfs/face/abd07d37d6fbf3ffbd7b537d2651f64e924a434f.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",吉林
6,21,日常,我给我的科学家奶奶看了《流浪地球2》。。。,中国科幻片在探寻未来的道路上 一定会越来越好,122,"{'aid': 905654361, 'view': 1555984, 'danmaku': 1256, 'reply': 1908, 'favorite': 5084, 'coin': 2942, 'share': 414, 'now_rank': 0, 'his_rank': 0, 'like': 97638, 'dislike': 0}",我的奶奶是如何评价这部电影的？,"{'content': '', 'corner_mark': 0}",BV1iP4y1r73Z,"{'mid': 32820037, 'name': '歪果仁研究协会', 'face': 'https://i1.hdslb.com/bfs/face/b97fb28871b2f4d50d05b7e9b0927b97bc7c926a.jpg'}","{'width': 1080, 'height': 1920, 'rotate': 0}",海南
7,182,影视杂谈,深度解析《导火线》，全长26分钟，全球顶尖的华语MMA神作,,1617,"{'aid': 948296685, 'view': 548349, 'danmaku': 1872, 'reply': 572, 'favorite': 5808, 'coin': 4822, 'share': 587, 'now_rank': 0, 'his_rank': 0, 'like': 29128, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1cs4y147pz,"{'mid': 45097284, 'name': '武侠学徒', 'face': 'https://i0.hdslb.com/bfs/face/4788c92230568d62cbabd2deaf7dfc9b7f999fd9.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",山东
8,172,手机游戏,【明日方舟】“登临意”WB-EX1~8平民全关卡低配攻略（含突袭）！操作轻松+语音详解的愉悦攻略！《明日方舟》|魔法Zc目录,"Zc攻略：【登临意】EX关卡的平民低配攻略合集，包含了关卡中具有挑战性的关卡攻略，在允许的情况下，Zc将使用无精2、无6星的平民阵容；在要求偏高的关卡中，也尽量只使用单6星或者少6星的平民阵容——尽力帮助各位观众能以上位阵容替代。
本攻略以清晰的思路、详细的讲解为大家认真解读新的关卡，漫谈各种乐趣，无论你是新玩家，还是老牌高手，甚至不玩明日方舟的朋友，都可以从视频中感受到快乐。
关卡开放不久，打法未必完美，如果视频中有错误的地方、或者有更好的搭配，欢迎在评论区和弹幕指出讨论。
由衷希望这套不平民",2004,"{'aid': 435806041, 'view': 1581361, 'danmaku': 4827, 'reply': 5022, 'favorite': 15763, 'coin': 51281, 'share': 4524, 'now_rank': 0, 'his_rank': 41, 'like': 82231, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1s3411R7pm,"{'mid': 13164144, 'name': '魔法Zc目录', 'face': 'https://i0.hdslb.com/bfs/face/a84fa10f90f7060d0336384954ee1cde7a8e9bc6.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",上海
9,212,美食侦探,俩江西帅小伙品尝爆辣美食，吃的过瘾聊的尽兴！,非常开心的一个视频，22万赞冲！,553,"{'aid': 650778925, 'view': 925496, 'danmaku': 9262, 'reply': 1471, 'favorite': 7631, 'coin': 40642, 'share': 1864, 'now_rank': 0, 'his_rank': 34, 'like': 136246, 'dislike': 0}",终于跟我江西老乡帅小伙见面了，吃的非常开心！#天南海北家乡味#江西美食#街头美食#江西米粉#美食侦探,"{'content': '', 'corner_mark': 0}",BV1nY4y1o7Dn,"{'mid': 273831140, 'name': '渣叔爱酒', 'face': 'https://i2.hdslb.com/bfs/face/51758f33ea3d71811d15a159a3d9b381adc39de5.jpg'}","{'width': 3840, 'height': 2160, 'rotate': 0}",江西
10,161,手工,磨刀细节教程：带你从原理理解磨刀，手把手带大家磨出一把“吹毛立断”的刀,-,1113,"{'aid': 948380731, 'view': 196446, 'danmaku': 886, 'reply': 532, 'favorite': 9417, 'coin': 4712, 'share': 545, 'now_rank': 0, 'his_rank': 0, 'like': 9971, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1qs4y147SF,"{'mid': 440242122, 'name': '西厨李狗蛋', 'face': 'https://i0.hdslb.com/bfs/face/25f623e717f87e0a1da9fc20036ad2997e75594a.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",天津
11,138,搞笑,去网吧玩别人机器,-,79,"{'aid': 350785648, 'view': 2651880, 'danmaku': 943, 'reply': 2076, 'favorite': 5711, 'coin': 2824, 'share': 2536, 'now_rank': 0, 'his_rank': 83, 'like': 181325, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1dR4y1876N,"{'mid': 291222529, 'name': '旺仔有内涵', 'face': 'https://i1.hdslb.com/bfs/face/249696510b899292ad37e07e78512b4c7cefa411.jpg'}","{'width': 1080, 'height': 1920, 'rotate': 0}",辽宁
12,138,搞笑,两分钟看完流浪地球2（含剧透，慎点！）,省流：我是刘德华,120,"{'aid': 990754185, 'view': 1364849, 'danmaku': 1373, 'reply': 3252, 'favorite': 24583, 'coin': 12794, 'share': 38311, 'now_rank': 0, 'his_rank': 53, 'like': 147982, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV14x4y1M7Bs,"{'mid': 382040857, 'name': '黄信可威', 'face': 'https://i1.hdslb.com/bfs/face/0c57e8f1c24639040a54526c7f1317582c3fdf4c.jpg'}","{'width': 720, 'height': 1280, 'rotate': 0}",江西
13,122,野生技能协会,学会去唬人！秒算你出生在星期几,「技多不压身」唬不到人算我输的心算篇,733,"{'aid': 265956552, 'view': 295432, 'danmaku': 942, 'reply': 758, 'favorite': 11355, 'coin': 5144, 'share': 856, 'now_rank': 0, 'his_rank': 0, 'like': 10497, 'dislike': 0}","友友们！视频盲盒回来啦！
每周五18:00开盲盒（不出意外的话）
这期的小技能真的有趣有逼格！
强烈建议收藏 顺便再点个赞（doge","{'content': '', 'corner_mark': 0}",BV1LY411Q7EJ,"{'mid': 348492492, 'name': '屁桃珠子', 'face': 'https://i0.hdslb.com/bfs/face/8e7d4936fb691ebc27a2797160cb2512da89c4bb.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",上海
14,17,单机游戏,法师大战 我的世界永恒的MC生存 二周目EP8,"整合包地址：https://www.curseforge.com/minecraft/modpacks/minecraft-eternal
汉化地址：https://www.bilibili.com/read/cv21193646
整合包介绍：BV1Wd4y147YM

EP1：BV1r8411N7am
EP2：BV1dG4y1C72W
EP3：BV1v8411A7FD
EP4：BV12A411R7bS
EP5：BV1BT41127dD
EP6：BV12G4y1X7Jm
EP7：BV1934y1Z7GG
",2041,"{'aid': 480937111, 'view': 434982, 'danmaku': 5787, 'reply': 2016, 'favorite': 10694, 'coin': 41932, 'share': 694, 'now_rank': 0, 'his_rank': 43, 'like': 107531, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1fT411y7up,"{'mid': 686127, 'name': '籽岷', 'face': 'https://i0.hdslb.com/bfs/face/7efb679569b2faeff38fa08f6f992fa1ada5e948.webp'}","{'width': 1920, 'height': 1080, 'rotate': 0}",上海
